CODE;NAME;STAT_ID;LAT;LON;ALT;NETWORK
319;KLUIZEN;68;51.158;3.731;NA;CLIM TT
321;GENT STERRE;773;51.023;3.711;15;CLIM TT
325;PASSENDALE;1358;50.903;3.03;40;CLIM TT
326;WINGENE;654;51.065;3.33;19;CLIM TT
327;URSEL;1226;51.135;3.501;8;CLIM TT
328;LAARNE;1296;51.035;3.834;5;CLIM TT
400;KRUISHOUTEM;63;50.944;3.527;9;CLIM TT
403;WINGENE;79;51.079;3.338;16;CLIM TT
404;SEMMERZAKE;486;50.941;3.671;37;CLIM TT
406;SINT-MARIA-LATEM;446;50.889;3.706;35;CLIM TT
408;BRUSSEGEM;39;50.922;4.248;53;CLIM TT
410;MEIGEM;80;51.016;3.476;17;CLIM TT
411;ASSE-TER-HEIDE;484;50.925;4.156;50;CLIM TT
412;HELDERGEM;658;50.874;3.964;74;CLIM TT
414;WORTEGEM;881;50.861;3.523;43;CLIM TT
415;ZULZEKE;880;50.788;3.573;28;CLIM TT
481;MELLE AWS;81;50.976;3.825;15;CLIM TT
505;CHIEVRES;85;50.573;3.833;63;CLIM TT
508;NECHIN;88;50.674;3.272;22;CLIM TT
509;TOURNAI;92;50.611;3.378;27;CLIM TT
511;HERINNES;93;50.706;3.369;16;CLIM TT
512;MOUSCRON;94;50.751;3.237;58;CLIM TT
516;VEZON;610;50.57;3.524;70;CLIM TT
517;VAUDIGNIES;791;50.556;3.794;25;CLIM TT
603;GOSSELIES;241;50.455;4.443;192;CLIM TT
607;LA HESTRE;248;50.477;4.248;173;CLIM TT
609;QUEVY-LE-PETIT;242;50.367;3.954;102;CLIM TT
616;BOUGNIES;641;50.386;3.939;82;CLIM TT
702;BRECHT;112;51.388;4.649;25;CLIM TT
705;ESSEN;476;51.463;4.452;14;CLIM TT
710;BRASSCHAAT;116;51.318;4.538;17;CLIM TT
713;BEGIJNENDIJK;507;51.023;4.784;15;CLIM TT
714;WESTMALLE;609;51.284;4.659;25;CLIM TT
715;BLAUBERG;631;51.041;4.924;20;CLIM TT
718;LIER;650;51.146;4.566;8;CLIM TT
719;RETIE AWS;623;51.222;5.028;21;CLIM TT
721;POPPEL;766;51.431;5.082;30;CLIM TT
725;SINT-KATELIJNE-WAVER;882;51.076;4.526;10;CLIM TT
726;DESSEL;1163;51.235;5.122;25;CLIM TT
800;KOERSEL;135;51.07;5.28;39;CLIM TT
803;KLEINE-BROGEL;141;51.17;5.464;64;CLIM TT
804;SCHAFFEN;139;50.998;5.063;54;CLIM TT
806;MEEUWEN;140;51.106;5.52;71;CLIM TT
809;OPHOVEN;146;51.134;5.799;35;CLIM TT
812;KURINGEN;645;50.949;5.272;20;CLIM TT
814;DIEPENBEEEK AWS;660;50.916;5.451;39;CLIM TT
818;HECHTEL-EKSEL;1159;51.123;5.372;63;CLIM TT
904;UCCLE-UKKEL (FERME);169;50.797;4.359;100;CLIM TT
905;UCCLE-UKKEL (OUVERT);166;50.797;4.357;100;CLIM TT
907;ZAVENTEM;171;50.897;4.528;58;CLIM TT
909;BRAINE-L'ALLEUD;172;50.699;4.373;96;CLIM TT
915;DILBEEK;651;50.864;4.251;50;CLIM TT
916;KAPELLE-OP-DEN-BOS;883;51.002;4.356;9;CLIM TT
917;HERNE;1114;50.729;4.004;43;CLIM TT
919;ELINGEN;1234;50.787;4.021;50;CLIM TT
1002;KORBEEK-LO;479;50.864;4.746;31;CLIM TT
1007;BLANMONT;192;50.62;4.646;125;CLIM TT
1009;ERNAGE AWS;640;50.583;4.691;157;CLIM TT
1012;HERENT;193;50.904;4.663;32;CLIM TT
1014;UCCLE VIVAQUA;470;50.782;4.366;100;CLIM TT
1016;SINT-PIETERS-RODE;606;50.905;4.811;60;CLIM TT
1017;LEEFDAAL;620;50.843;4.594;80;CLIM TT
1019;UCCLE-UKKEL AWS;627;50.797;4.358;101;CLIM TT
1020;NETHEN;636;50.781;4.685;47;CLIM TT
1021;UCCLE-UKKEL (ANCIEN FERME);771;50.797;4.357;100;CLIM TT
1101;BEAUVECHAIN;200;50.747;4.765;127;CLIM TT
1104;GORSEM;205;50.772;5.161;84;CLIM TT
1108;BIERSET;495;50.646;5.46;178;CLIM TT
1110;RANSBERG;219;50.864;5.034;60;CLIM TT
1111;BILZEN;220;50.867;5.508;63;CLIM TT
1112;VEDRIN;449;50.5;4.862;170;CLIM TT
1113;RUTTEN;494;50.749;5.438;110;CLIM TT
1115;DAUSSOULX;602;50.515;4.872;180;CLIM TT
1116;ENGELMANSHOVEN;890;50.768;5.25;95;CLIM TT
1117;MARILLES;1363;50.706;4.944;95;CLIM TT
1201;EZEMAAL;481;50.771;5.001;47;CLIM TT
1206;ANGLEUR;475;50.62;5.583;65;CLIM TT
1207;LIEGE-MONSIN;235;50.666;5.641;58;CLIM TT
1211;BEN-AHIN;229;50.516;5.184;78;CLIM TT
1302;FLORENNES;272;50.235;4.654;299;CLIM TT
1303;DOURBES AWS;639;50.096;4.596;233;CLIM TT
1306;SIVRY;281;50.178;4.23;256;CLIM TT
1307;HASTIERE;302;50.2;4.821;99;CLIM TT
1315;BIOUL;1328;50.338;4.791;215;CLIM TT
1402;STREE;466;50.509;5.316;250;CLIM TT
1404;CRUPET;482;50.356;4.964;196;CLIM TT
1405;ROCHEFORT;326;50.176;5.224;193;CLIM TT
1407;HOUYET;332;50.191;5.008;118;CLIM TT
1412;LOUVEIGNE;311;50.518;5.701;302;CLIM TT
1419;SOREE;464;50.399;5.124;270;CLIM TT
1420;SART-BERNARD;503;50.399;4.954;260;CLIM TT
1423;HUMAIN AWS;624;50.194;5.257;296;CLIM TT
1424;BONCELLES;1298;50.567;5.536;264;CLIM TT
1498;STEMBERT;456;50.596;5.905;290;CLIM TT
1499;S GRAVENVOEREN;341;50.75;5.748;110;CLIM TT
1504;WALHORN;337;50.698;6.035;220;CLIM TT
1507;SPA-LA SAUVENIERE;348;50.479;5.911;482;CLIM TT
1508;STAVELOT;349;50.398;5.936;320;CLIM TT
1512;ELSENBORN;352;50.483;6.182;570;CLIM TT
1600;MONT RIGI AWS;626;50.512;6.075;673;CLIM TT
1602;HOCKAI;361;50.484;5.989;574;CLIM TT
1609;SUGNY;384;49.816;4.9;375;CLIM TT
1612;GEROMONT;376;50.41;6.055;440;CLIM TT
1614;MURRINGEN;379;50.408;6.31;658;CLIM TT
1615;NEIDINGEN;458;50.252;6.148;420;CLIM TT
1618;SOURBRODT;664;50.476;6.126;575;CLIM TT
1620;ELSENBORN;1329;50.454;6.214;616;CLIM TT
1701;HIVES;389;50.152;5.583;398;CLIM TT
1702;GOUVY;392;50.191;5.954;458;CLIM TT
1703;NADRIN;394;50.159;5.681;405;CLIM TT
1705;FORGES;497;49.982;4.34;318;CLIM TT
